norm_text,label,freq,cum_freq,cum_pct,rank,bucket
chinese,NORP,168,168,0.06201550387596899,1,head
china,GPE,109,277,0.10225175341454411,2,head
canton,GPE,70,347,0.12809154669619785,3,head
british,NORP,57,404,0.1491325212255445,4,head
india,GPE,42,446,0.16463639719453674,5,head
english,NORP,42,488,0.18014027316352899,6,head
two,CARDINAL,41,529,0.1952750092284976,7,head
lin,PERSON,35,564,0.2081949058693245,8,head
one,CARDINAL,32,596,0.22000738279808046,9,head
elliot,PERSON,30,626,0.23108157991878922,10,head
bengal,GPE,27,653,0.2410483573274271,11,head
first,ORDINAL,26,679,0.25064599483204136,12,head
england,GPE,19,698,0.2576596530084902,13,head
indian,NORP,17,715,0.26393503137689184,14,head
macao,GPE,15,730,0.26947212993724623,15,head
company,ORG,14,744,0.27464008859357697,16,head
europe,LOC,12,756,0.27906976744186046,17,head
american,NORP,12,768,0.28349944629014395,18,head
singapore,GPE,11,779,0.28755998523440385,19,head
hongkong,GPE,11,790,0.2916205241786637,20,head
patna,GPE,11,801,0.2956810631229236,21,head
lintin,GPE,11,812,0.2997416020671835,22,head
three,CARDINAL,11,823,0.3038021410114433,23,head
european,NORP,10,833,0.30749354005167956,24,head
chinaman,NORP,10,843,0.31118493909191586,25,head
benares,GPE,9,852,0.31450719822812845,26,head
calcutta,GPE,9,861,0.3178294573643411,27,head
government,ORG,9,870,0.3211517165005537,28,head
london,GPE,8,878,0.32410483573274274,29,head
pekin,GPE,8,886,0.32705795496493173,30,head
shanghai,GPE,8,894,0.3300110741971207,31,head
hong,GPE,8,902,0.3329641934293097,32,head
peking,GPE,8,910,0.3359173126614987,33,head
amoy,GPE,8,918,0.3388704318936877,34,head
chusan,GPE,8,926,0.3418235511258767,35,head
2,CARDINAL,7,933,0.3444075304540421,36,head
spanish,NORP,7,940,0.34699150978220744,37,head
malay,NORP,7,947,0.34957548911037284,38,head
1,CARDINAL,7,954,0.3521594684385382,39,head
four,CARDINAL,7,961,0.3547434477667036,40,head
british-owned,NORP,6,967,0.3569582871908453,41,head
hong-kong,GPE,6,973,0.35917312661498707,42,head
bengal,LOC,6,979,0.3613879660391288,43,head
whampoa,GPE,6,985,0.36360280546327056,44,head
whampoa,LOC,6,991,0.3658176448874123,45,head
tang,PERSON,6,997,0.36803248431155405,46,head
dutch,NORP,6,1003,0.37024732373569585,47,head
hong,NORP,6,1009,0.3724621631598376,48,head
malays,NORP,6,1015,0.37467700258397935,49,head
1839,DATE,5,1020,0.37652270210409744,50,head
bengal,NORP,5,1025,0.3783684016242156,51,head
"20,283",CARDINAL,5,1030,0.3802141011443337,52,head
night,TIME,5,1035,0.38205980066445183,53,head
third,ORDINAL,5,1040,0.3839055001845699,54,head
second,ORDINAL,5,1045,0.3857511997046881,55,head
the east india company,ORG,5,1050,0.3875968992248062,56,head
bahar,GPE,5,1055,0.3894425987449243,57,head
ii,CARDINAL,5,1060,0.39128829826504247,58,head
namoa,GPE,5,1065,0.39313399778516056,59,head
reed,PERSON,5,1070,0.3949796973052787,60,head
turkey,GPE,4,1074,0.3964562569213732,61,head
4,CARDINAL,4,1078,0.3979328165374677,62,head
24,CARDINAL,4,1082,0.3994093761535622,63,head
bombay,GPE,4,1086,0.4008859357696567,64,head
sixteen,CARDINAL,4,1090,0.4023624953857512,65,head
twenty,CARDINAL,4,1094,0.4038390550018457,66,head
half,CARDINAL,4,1098,0.4053156146179402,67,head
mandarins,NORP,4,1102,0.4067921742340347,68,head
six,CARDINAL,4,1106,0.4082687338501292,69,head
elgin,PERSON,4,1110,0.4097452934662237,70,head
christian,NORP,4,1114,0.4112218530823182,71,head
north,LOC,4,1118,0.4126984126984127,72,head
shanghae,GPE,4,1122,0.4141749723145072,73,head
hang-chow-foo,GPE,4,1126,0.4156515319306017,74,head
five,CARDINAL,4,1130,0.4171280915466962,75,head
innes,PERSON,3,1133,0.41823551125876707,76,head
40,CARDINAL,3,1136,0.41934293097083797,77,head
44,CARDINAL,3,1139,0.4204503506829088,78,head
sylph,PRODUCT,3,1142,0.4215577703949797,79,head
"july, 1799",DATE,3,1145,0.42266519010705056,80,head
hong kong,GPE,3,1148,0.42377260981912146,81,head
europeans,NORP,3,1151,0.4248800295311923,82,head
factories,FAC,3,1154,0.4259874492432632,83,head
chuenpee,GPE,3,1157,0.42709486895533405,84,head
lin tsihseu,PERSON,3,1160,0.42820228866740495,85,head
12,CARDINAL,3,1163,0.4293097083794758,86,head
tientsin,GPE,3,1166,0.4304171280915467,87,head
499,CARDINAL,3,1169,0.4315245478036176,88,head
palmerston,PERSON,3,1172,0.43263196751568844,89,head
cantonese,NORP,3,1175,0.43373938722775934,90,head
gutzlaff,PERSON,3,1178,0.4348468069398302,91,head
late years,DATE,3,1181,0.4359542266519011,92,head
great britain,GPE,3,1184,0.43706164636397193,93,head
dent,PERSON,3,1187,0.43816906607604283,94,head
two days,DATE,3,1190,0.4392764857881137,95,head
celebes,LOC,3,1193,0.4403839055001846,96,head
siam,GPE,3,1196,0.4414913252122554,97,head
namoa,LOC,3,1199,0.4425987449243263,98,head
8,CARDINAL,3,1202,0.44370616463639717,99,head
bogue,LOC,3,1205,0.44481358434846807,100,head
borneo,GPE,3,1208,0.4459210040605389,101,head
borneo,LOC,3,1211,0.4470284237726098,102,head
the middle kingdom,GPE,3,1214,0.4481358434846807,103,head
the united states,GPE,3,1217,0.44924326319675156,104,head
ningpo,GPE,3,1220,0.45035068290882246,105,head
batavia,GPE,3,1223,0.4514581026208933,106,head
1838,DATE,3,1226,0.4525655223329642,107,head
parliament,ORG,3,1229,0.45367294204503505,108,head
annually,DATE,3,1232,0.45478036175710596,109,head
1805,DATE,3,1235,0.4558877814691768,110,head
1832,DATE,3,1238,0.4569952011812477,111,head
mongolia,GPE,3,1241,0.45810262089331855,112,head
1807,DATE,3,1244,0.45921004060538945,113,head
1820,DATE,3,1247,0.4603174603174603,114,head
americans,NORP,3,1250,0.4614248800295312,115,head
6 per cent,PERCENT,3,1253,0.4625322997416021,116,head
poo-too,LOC,3,1256,0.46363971945367294,117,head
linga,LOC,2,1258,0.4643779992617202,118,head
1792,CARDINAL,2,1260,0.46511627906976744,119,head
britannic,NORP,2,1262,0.4658545588778147,120,head
lin-tin,GPE,2,1264,0.46659283868586193,121,head
can- ton,GPE,2,1266,0.4673311184939092,122,head
last night,TIME,2,1268,0.46806939830195643,123,head
the 8th,DATE,2,1270,0.4688076781100037,124,head
google,ORG,2,1272,0.4695459579180509,125,head
the next day,DATE,2,1274,0.4702842377260982,126,head
